,Volume,vw,Open,Close,High,Low,t,n
778,143502.0,443.6532,443.63,443.64,443.69,443.62,1688567580000,1505.0
779,66865.0,443.6176,443.64,443.6,443.66,443.58,1688567640000,992.0
780,205100.0,443.738,443.6,443.73,443.83,443.6,1688567700000,2087.0
781,123965.0,443.711,443.72,443.725,443.75,443.69,1688567760000,1348.0
782,129026.0,443.7298,443.7224,443.715,443.77,443.69,1688567820000,1234.0
783,90616.0,443.7201,443.69,443.7725,443.7875,443.67,1688567880000,1047.0
784,102741.0,443.7203,443.78,443.69,443.785,443.665,1688567940000,1215.0
785,165181.0,443.7228,443.7,443.7,443.78,443.68,1688568000000,1585.0
786,170960.0,443.7027,443.7,443.65,443.74,443.64,1688568060000,1478.0
787,814768.0,443.693,443.66,443.7,443.745,443.635,1688568120000,1117.0
788,92298.0,443.6523,443.695,443.63,443.7,443.61,1688568180000,982.0
789,126063.0,443.5449,443.64,443.535,443.65,443.47,1688568240000,1191.0
790,77355.0,443.5775,443.55,443.59,443.605,443.55,1688568300000,725.0
791,113016.0,443.4786,443.58,443.38,443.5801,443.35,1688568360000,1152.0
792,153348.0,443.3376,443.38,443.31,443.41,443.26,1688568420000,1221.0
793,173793.0,443.2207,443.3,443.255,443.308,443.1401,1688568480000,1507.0
794,153479.0,443.3099,443.25,443.38,443.42,443.21,1688568540000,1341.0
795,107685.0,443.4157,443.37,443.44,443.47,443.36,1688568600000,1003.0
796,93388.0,443.4535,443.45,443.4525,443.5,443.4,1688568660000,944.0
797,82751.0,443.4366,443.45,443.45,443.475,443.405,1688568720000,971.0
798,62550.0,443.4466,443.44,443.45,443.505,443.3927,1688568780000,830.0
799,57639.0,443.4552,443.43,443.485,443.5,443.4101,1688568840000,663.0
800,112633.0,443.5918,443.48,443.665,443.685,443.4601,1688568900000,1210.0
801,79323.0,443.6461,443.665,443.655,443.67,443.6026,1688568960000,662.0
802,89414.0,443.6871,443.65,443.66,443.72,443.635,1688569020000,827.0
803,80516.0,443.7307,443.67,443.7999,443.81,443.66,1688569080000,835.0
804,95942.0,443.7692,443.7901,443.79,443.805,443.74,1688569140000,926.0
805,167045.0,443.8134,443.795,443.7801,443.86,443.78,1688569200000,1398.0
806,145397.0,443.6832,443.785,443.665,443.8075,443.62,1688569260000,1212.0
807,109547.0,443.7413,443.665,443.78,443.8,443.6501,1688569320000,941.0
808,35882.0,443.7499,443.79,443.741,443.79,443.7203,1688569380000,523.0
